ID,Type,Name,Address,Grade,District,AGA Division,PS/MC/UC
1020,Travel Agents,CITY TOURS,"476, KANDY ROAD, DALUGAMA",Not Graded,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat
1021,Travel Agents,ASGA INTERNATIONAL,"NO. 312/B/1, KANDY ROAD, KADAWATHA",Not Graded,Gampaha,Biyagama Pradeshiya Sabha,Biyagama Divisional Secretariat
1022,Travel Agents,CLASSIC LANKA TRAVELS,"NO.95/2/1, LUWIS WIJERATHNA PLACE, KANDY ROAD, IMBULGODA",Not Graded,Gampaha,Gampaha,Gampaha Divisional Secretariat
1023,Travel Agents,BUSINESS & LEISURE (PVT) LTD,"NO.379/1, GALLE ROAD, COLOMBO 03",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1024,Travel Agents,SKYMARK TRAVELS,"NO.1B, STAMBOUL PLACE, COLOMBO 03",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1025,Travel Agents,THE FILM TEAM (PVT) LTD,"NO.60, WALTER GUNASEKARA MAWATHA, NAWALA",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1026,Travel Agents,SUPER TAPROBANE TOURS (PVT) LTD,"NO. 36/12, DE SARAM ROAD, MOUNT LAVINIA",Not Graded,Colombo,Dehiwala-Mount Lavinia,Mount Lavinia
1027,Travel Agents,JPS TOURS,"NO.18, MIHINDU MAWATHA, KURUNEGALA",Not Graded,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat
1028,Travel Agents,NATURE'S LINK TRAVEL & TOURS,"NO.86/610, SUMAGA MAWATHA, GABADAWATTA-2, PITIPANA - NORTH, HOMAGAMA",Not Graded,Colombo,Colombo,Homagama Divisional Secretariat
1029,Travel Agents,EASY TRAVELS CENTRE (PVT) LTD,"NO 1 1/1 DEANSTONE HOUSE ,DEANSTONE PLACE,COLOMBO 3",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1030,Travel Agents,RED FEATHER TRAVELS (PVT) LTD,"NO 45 A,THIMBIRIGASYAYA ROAD,THIMBIRIGASYAYA,COLOMBO 5",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1031,Travel Agents,TROPIC LANKA TRAVELS & TOURS (PVT) LTD,"NO:593,COLOMBO ROAD,LIYANAGEMULLA,SEEDUWA",Not Graded,Gampaha,Gampaha,Gampaha Divisional Secretariat
1032,Travel Agents,SHAZI TOURS,"36,SOMANANDA RD,NEDIMALA,DEHIWALA",Not Graded,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
1033,Travel Agents,DITO LANKA PVT LTD,"22/3,PEARL VILLA,NAGAS JUNCTION,GALLE ROAD,KALUTHARA NORTH",Not Graded,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat
1034,Travel Agents,AUTUMN LANKA TRAVELS (PVT) LTD,"NO. 01ST FLOOR, CRYSTAL BUILDING, 299/3, GALLE ROAD, PANADURA",Not Graded,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat
1035,Travel Agents,BO-MIE TOURS,"#2-5,UDESHI CITY COMPLEX,94,MAKOLA ROAD,KIRIBATHGODA",Not Graded,Gampaha,Biyagama Pradeshiya Sabha,Biyagama Divisional Secretariat
1036,Travel Agents,EAST WEST LEISURE (PVT) LTD.,"NO:12-01,EAST TOWER,WORLD TRADE CENTRE,COLOMBO 01",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1037,Travel Agents,ASIAN HORIZON TRAVELS (PVT) LTD,"LEVEL 6,MACLARENG BUILDING,BAUDDHALOKA MAWATHA,COLOMBO 4.",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1038,Travel Agents,MIRACULOUS HOLIDAYS (PVT) LTD,"73/1/1,COLOMBO ROAD,PILIYANDALA",Not Graded,Colombo,Kesbewa,Kesbewa Divisional Secretariat
1039,Travel Agents,VILKA TRAVELS (PRIVATE) LTD,"83/2,DUTUGAMUNU STREET,KOHUWALA,SRI LANKA",Not Graded,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
